,channel,strength
401,401,0.0051189866
79,79,0.004417926
499,499,0.0042351373
272,272,0.0033855115
2,2,0.003143758
267,267,0.0025972966
510,510,0.0025229468
130,130,0.0022487796
228,228,0.0021741684
101,101,0.001948409
418,418,0.0018696061
481,481,0.0017976156
88,88,0.0017784507
58,58,0.0017771542
116,116,0.0017733901
282,282,0.0017370607
207,207,0.0017357969
429,429,0.0016839057
284,284,0.0016397897
139,139,0.0016203154
242,242,0.0016087457
319,319,0.0015855831
237,237,0.0015757639
475,475,0.001572773
427,427,0.001526569
276,276,0.0015258243
163,163,0.0014731362
460,460,0.0014698224
268,268,0.0014479166
87,87,0.0013900393
486,486,0.0013423131
367,367,0.0013412643
129,129,0.0013402662
448,448,0.0013169902
438,438,0.0012944449
463,463,0.001292959
109,109,0.0012898487
197,197,0.0012845552
215,215,0.0012809597
419,419,0.0012448858
170,170,0.0012249282
46,46,0.0012235934
191,191,0.0012160796
6,6,0.0012132789
292,292,0.0012097002
174,174,0.0011935516
198,198,0.0011886621
450,450,0.0011825112
334,334,0.0011808838
134,134,0.0011740165
297,297,0.0011682409
388,388,0.0011680947
4,4,0.0011665267
96,96,0.001155285
144,144,0.0011436475
383,383,0.0011424082
472,472,0.0011330546
200,200,0.0011163615
126,126,0.0011128024
7,7,0.0011117855
149,149,0.0011032915
142,142,0.0010992303
108,108,0.0010948912
55,55,0.0010793228
35,35,0.0010671945
156,156,0.0010658612
75,75,0.0010604868
497,497,0.0010573129
333,333,0.0010556887
346,346,0.0010499252
259,259,0.0010397168
33,33,0.0010339752
196,196,0.0010080026
321,321,0.0010073334
169,169,0.001006006
187,187,0.0010003602
421,421,0.0009871207
347,347,0.0009822787
495,495,0.0009788647
235,235,0.00097607024
313,313,0.000972718
316,316,0.00096160895
32,32,0.0009501351
365,365,0.0009465426
50,50,0.0009324631
309,309,0.0009274587
461,461,0.0009274281
439,439,0.0009251979
140,140,0.00091394293
220,220,0.0009082752
482,482,0.0009080755
430,430,0.0009043302
218,218,0.0009004896
143,143,0.00089990336
99,99,0.0008916955
70,70,0.00089066115
168,168,0.0008892674
209,209,0.00088266545
391,391,0.0008787587
137,137,0.00087609346
369,369,0.00087306765
355,355,0.0008672569
354,354,0.0008614661
352,352,0.0008591456
359,359,0.00085570634
258,258,0.00084690325
385,385,0.0008433214
296,296,0.0008431721
153,153,0.0008382941
17,17,0.0008377292
186,186,0.00083413016
162,162,0.00083256833
473,473,0.00082412886
47,47,0.0008205253
89,89,0.0008157718
283,283,0.00080831826
351,351,0.0008064204
124,124,0.00080594653
457,457,0.0008049854
188,188,0.00078665616
154,154,0.00078267895
120,120,0.0007801328
190,190,0.0007771554
85,85,0.0007743246
22,22,0.00076702645
266,266,0.00076506665
227,227,0.0007623983
21,21,0.0007611779
295,295,0.00075573527
476,476,0.00074219145
115,115,0.0007414153
363,363,0.000735065
44,44,0.00073410827
83,83,0.0007331246
118,118,0.0007294682
511,511,0.00072840624
322,322,0.00072799233
483,483,0.0007264888
219,219,0.0007200153
274,274,0.0007194695
455,455,0.0007167979
509,509,0.0007164892
412,412,0.00071247795
239,239,0.00071194395
3,3,0.00070765684
420,420,0.0007068611
53,53,0.0007004219
173,173,0.00069374195
480,480,0.0006935094
189,189,0.0006923614
80,80,0.0006903429
141,141,0.00068950764
208,208,0.00068684825
474,474,0.00068534614
386,386,0.00068098377
107,107,0.00068088406
504,504,0.0006799584
328,328,0.00067885965
307,307,0.00067760365
64,64,0.0006768076
362,362,0.00067168014
86,86,0.000671517
279,279,0.0006705279
361,361,0.00066772755
175,175,0.0006668292
16,16,0.0006653719
345,345,0.00066359126
372,372,0.00066246424
380,380,0.0006578692
330,330,0.00065479317
470,470,0.00065403903
43,43,0.00065164984
205,205,0.0006473879
294,294,0.00063388806
357,357,0.00063241523
36,36,0.00063216814
68,68,0.00063114305
57,57,0.0006299799
213,213,0.00062879996
210,210,0.0006244437
49,49,0.00062352256
241,241,0.00062221487
487,487,0.0006212713
82,82,0.00062058726
466,466,0.0006202627
395,395,0.0006191936
72,72,0.0006174072
158,158,0.0006166083
437,437,0.00061549625
113,113,0.0006142644
277,277,0.0006109689
157,157,0.00060956663
291,291,0.0006088704
370,370,0.0006068144
104,104,0.00060625107
41,41,0.0006062162
94,94,0.00060481543
493,493,0.00060343795
247,247,0.00060251716
338,338,0.00060242455
204,204,0.00060240383
424,424,0.0005989864
344,344,0.0005951116
360,360,0.0005884679
151,151,0.0005868215
264,264,0.0005865409
293,293,0.00058519834
62,62,0.0005819824
300,300,0.00058131246
238,238,0.00057876547
407,407,0.0005770471
342,342,0.0005726651
5,5,0.00057154294
114,114,0.00057109277
240,240,0.00057103945
452,452,0.0005675462
91,91,0.0005672489
413,413,0.0005642817
119,119,0.00056401774
458,458,0.0005635342
180,180,0.0005617487
10,10,0.0005590609
181,181,0.00055804825
479,479,0.0005575437
29,29,0.00055724994
9,9,0.00055689306
102,102,0.0005544259
399,399,0.00055424945
97,97,0.0005539326
172,172,0.00054995815
31,31,0.0005499472
364,364,0.0005491284
492,492,0.00054688356
164,164,0.00054382335
371,371,0.0005417347
275,275,0.00053873524
308,308,0.00053855526
501,501,0.00053753663
92,92,0.00053742283
506,506,0.0005367725
167,167,0.00053528306
305,305,0.00053263427
485,485,0.00053174875
318,318,0.0005315904
177,177,0.00053113786
166,166,0.0005307643
193,193,0.0005297839
469,469,0.0005261937
25,25,0.000521339
48,48,0.0005209389
128,128,0.00052093086
498,498,0.00052030955
405,405,0.0005189927
201,201,0.00051636016
229,229,0.00051383715
24,24,0.00051297864
123,123,0.0005124072
477,477,0.0005120602
402,402,0.0005115426
377,377,0.00051048637
348,348,0.0005102354
23,23,0.00050849793
451,451,0.00050814415
406,406,0.0005045002
27,27,0.0004999815
350,350,0.0004998393
185,185,0.0004971214
390,390,0.00049634936
375,375,0.0004955703
431,431,0.00049411313
105,105,0.00049172394
411,411,0.0004917152
148,148,0.00049001497
250,250,0.0004884555
392,392,0.00048794085
374,374,0.00048640848
252,252,0.00048480998
269,269,0.00048419714
192,192,0.00048391512
217,217,0.00048157398
263,263,0.00048102875
415,415,0.00047999277
212,212,0.0004762149
417,417,0.00047523607
467,467,0.0004741602
340,340,0.00047381772
397,397,0.00047334703
433,433,0.00047333006
378,378,0.00047203893
206,206,0.0004719441
443,443,0.00047179937
484,484,0.00047088487
434,434,0.0004697333
396,396,0.00046903393
