,channel,strength
242,242,0.01746412
134,134,0.011444086
71,71,0.01060778
395,395,0.0062382165
363,363,0.0058679837
175,175,0.004722381
53,53,0.0044826367
112,112,0.0042659384
457,457,0.003703029
288,288,0.003450465
328,328,0.00344062
414,414,0.0032427178
205,205,0.0032254586
321,321,0.003165059
32,32,0.003014796
9,9,0.0025584965
180,180,0.0025317036
452,452,0.0024022916
69,69,0.0023928392
210,210,0.0023827436
385,385,0.0023732155
98,98,0.0023490055
307,307,0.0023184065
418,418,0.002295881
470,470,0.0022638584
341,341,0.0021729823
308,308,0.0021633923
37,37,0.0021602109
440,440,0.0021246527
16,16,0.0020481
10,10,0.0020317773
486,486,0.002021162
150,150,0.0020176854
89,89,0.0019858822
278,278,0.001971183
430,430,0.0019591004
463,463,0.0019105887
434,434,0.0018847745
437,437,0.0017904
127,127,0.0017076981
310,310,0.0016927454
151,151,0.0016283162
224,224,0.0015725751
268,268,0.0015449473
402,402,0.00153654
190,190,0.0014757048
92,92,0.0014610167
117,117,0.0014568182
110,110,0.0014490561
423,423,0.0014475571
161,161,0.0014227595
291,291,0.001410095
225,225,0.0013883268
189,189,0.001364547
157,157,0.0013630674
499,499,0.00135625
274,274,0.0013522932
166,166,0.0013465862
475,475,0.0013449993
300,300,0.0013322539
368,368,0.0012959774
267,267,0.0012800089
36,36,0.0012684392
11,11,0.0012514348
184,184,0.0012406422
453,453,0.0012389477
173,173,0.0012284226
429,429,0.001227794
229,229,0.0011854741
212,212,0.0011837278
295,295,0.0011766667
318,318,0.0011758378
390,390,0.0011577767
67,67,0.0011576377
26,26,0.001157294
256,256,0.0011399041
287,287,0.0011214579
245,245,0.0011204005
118,118,0.001119347
379,379,0.0011182849
412,412,0.0011027583
169,169,0.0010857102
488,488,0.001084579
108,108,0.0010608159
155,155,0.0010607184
465,465,0.0010555563
80,80,0.0010430918
285,285,0.0010419621
191,191,0.001039581
320,320,0.0010336601
489,489,0.0009907437
46,46,0.00098818
359,359,0.0009863363
415,415,0.000984566
438,438,0.0009843353
2,2,0.0009840623
483,483,0.000978259
116,116,0.00096878014
279,279,0.00096704334
391,391,0.0009629472
75,75,0.0009625787
386,386,0.0009506957
213,213,0.00094954396
81,81,0.0009334278
170,170,0.0009309288
459,459,0.0009304561
25,25,0.0009263908
422,422,0.0009251744
316,316,0.0009241467
254,254,0.00092409964
294,294,0.00092359504
322,322,0.00092271896
493,493,0.00092130696
168,168,0.00091688987
361,361,0.0009016815
302,302,0.0008988095
199,199,0.0008969074
42,42,0.00089361327
275,275,0.00089227123
20,20,0.00089052174
197,197,0.00088976097
43,43,0.0008803114
370,370,0.00087934994
436,436,0.00087875564
28,28,0.00087209826
290,290,0.0008675793
330,330,0.00085718994
94,94,0.0008566909
511,511,0.0008561607
77,77,0.0008551629
484,484,0.0008420306
202,202,0.0008376041
78,78,0.00083523884
487,487,0.00083071465
44,44,0.0008302506
456,456,0.00082660967
343,343,0.00082623283
186,186,0.0008204403
428,428,0.0008122731
63,63,0.000809409
371,371,0.0007866993
367,367,0.0007859241
410,410,0.00078440236
129,129,0.00078421313
492,492,0.0007841307
219,219,0.00078324176
181,181,0.0007805426
192,192,0.000759081
348,348,0.00075573416
156,156,0.00075448444
149,149,0.0007483769
497,497,0.0007449612
97,97,0.0007447865
238,238,0.0007345617
427,427,0.0007344842
48,48,0.0007277395
496,496,0.0007251045
468,468,0.0007233464
351,351,0.00071131974
396,396,0.0007099477
240,240,0.00070780434
277,277,0.00070575473
397,397,0.00070399133
362,362,0.0007016971
122,122,0.0006994947
425,425,0.0006994096
347,347,0.0006979086
502,502,0.00069097895
377,377,0.00068525685
70,70,0.00068207615
481,481,0.0006812176
185,185,0.00067786046
90,90,0.00067573227
472,472,0.0006711317
339,339,0.0006699505
405,405,0.000669038
426,426,0.0006675291
204,204,0.0006652177
296,296,0.0006634654
235,235,0.000660739
141,141,0.0006510568
203,203,0.00064648956
293,293,0.0006462373
508,508,0.00064582145
121,121,0.00064454816
93,93,0.00064454804
406,406,0.00064240245
12,12,0.0006397705
344,344,0.00063504284
19,19,0.0006331822
332,332,0.0006323309
194,194,0.00062925677
313,313,0.0006285695
507,507,0.0006174056
82,82,0.0006161944
239,239,0.00060919294
490,490,0.0006089468
266,266,0.0006075872
128,128,0.0006045006
407,407,0.00060399977
451,451,0.00060152815
137,137,0.0005997921
454,454,0.00059671386
270,270,0.00059550925
404,404,0.00059543905
439,439,0.000591806
460,460,0.0005913006
23,23,0.0005911026
373,373,0.000590888
96,96,0.0005903696
55,55,0.00059018075
365,365,0.000585234
411,411,0.00058369443
374,374,0.00058170315
119,119,0.000581078
458,458,0.00058017287
420,420,0.00057635305
393,393,0.00057374657
261,261,0.0005727315
319,319,0.00057239935
283,283,0.00057194225
233,233,0.0005646504
403,403,0.00056403375
357,357,0.00056290894
241,241,0.00056050875
182,182,0.00056047173
257,257,0.000556821
364,364,0.00055118365
174,174,0.0005500873
111,111,0.00054910127
309,309,0.0005458186
193,193,0.00054326915
5,5,0.0005425164
24,24,0.0005411514
162,162,0.0005377205
432,432,0.0005299737
284,284,0.000529899
491,491,0.0005281161
352,352,0.000527957
39,39,0.0005278845
297,297,0.00052527175
312,312,0.0005249035
443,443,0.0005247692
143,143,0.0005237088
389,389,0.00052194
132,132,0.0005208663
57,57,0.00051607064
85,85,0.00051471085
482,482,0.00051036675
247,247,0.0005102306
477,477,0.00050744385
358,358,0.0005060787
125,125,0.000505312
466,466,0.00050286297
479,479,0.00050196645
323,323,0.0005004967
232,232,0.0004986481
114,114,0.0004957778
87,87,0.0004945035
158,158,0.0004930025
376,376,0.00049192616
384,384,0.00049149833
65,65,0.00049068604
144,144,0.0004868068
41,41,0.00048459516
33,33,0.00048199162
135,135,0.00047957737
72,72,0.00047893118
449,449,0.00047819986
442,442,0.0004762921
130,130,0.00047556465
244,244,0.00047063318
163,163,0.00047034535
292,292,0.00047004907
350,350,0.00046825878
304,304,0.0004671009
474,474,0.0004649635
208,208,0.00046426945
286,286,0.00046057467
178,178,0.00045859
450,450,0.00045825946
226,226,0.00045819176
8,8,0.00045815166
252,252,0.0004559861
154,154,0.00045457872
264,264,0.00045156496
146,146,0.00044669665
220,220,0.00044567848
501,501,0.00044542857
273,273,0.00044488933
171,171,0.0004427107
401,401,0.00044082777
381,381,0.00043972745
140,140,0.00043886708
356,356,0.00043867563
464,464,0.0004386433
353,353,0.00043817703
230,230,0.0004378558
249,249,0.00043769262
15,15,0.0004355795
345,345,0.0004354763
133,133,0.0004346199
120,120,0.00043198353
505,505,0.00043042895
95,95,0.00042860254
378,378,0.0004282037
455,455,0.00042507777
298,298,0.00042234876
145,145,0.0004205409
104,104,0.0004192717
394,394,0.00041797172
45,45,0.00041774593
366,366,0.00041443488
325,325,0.00041310437
62,62,0.00041287072
179,179,0.00041070042
317,317,0.0004105377
338,338,0.00040974608
79,79,0.00040827427
66,66,0.00040683098
139,139,0.0004056471
29,29,0.00040440765
152,152,0.00040363474
214,214,0.00040329635
435,435,0.0004028462
22,22,0.00040165885
346,346,0.0004001219
209,209,0.00039810632
392,392,0.00039726324
315,315,0.00039714077
433,433,0.00039478665
506,506,0.0003915952
105,105,0.0003900892
446,446,0.00038801826
0,0,0.00038777932
18,18,0.0003875171
424,424,0.00038726558
331,331,0.00038722638
51,51,0.00038692914
417,417,0.00038655673
14,14,0.0003852234
6,6,0.00038509126
281,281,0.0003836144
383,383,0.00038292323
216,216,0.00038181938
262,262,0.00037940088
74,74,0.00037926337
3,3,0.00037809636
387,387,0.00037650907
342,342,0.00037650426
398,398,0.0003733892
136,136,0.00037266538
243,243,0.00037207166
471,471,0.00037091138
73,73,0.00036918517
86,86,0.00036871075
68,68,0.00036807635
372,372,0.00036491535
200,200,0.0003633216
107,107,0.00036330617
480,480,0.00036279066
124,124,0.00036251516
131,131,0.00036231225
269,269,0.00036161783
447,447,0.00036158395
167,167,0.0003561097
38,38,0.00035443963
211,211,0.00035319992
369,369,0.00035081702
248,248,0.00035030014
101,101,0.00034903514
115,115,0.00034696967
413,413,0.0003440623
289,289,0.00034358836
56,56,0.00034278553
195,195,0.0003423341
388,388,0.00034183572
416,416,0.00034126177
206,206,0.0003408197
375,375,0.00033973216
4,4,0.00033931396
494,494,0.00033901844
99,99,0.00033845875
282,282,0.00033784402
172,172,0.00033696217
218,218,0.00033630853
165,165,0.0003358777
196,196,0.0003349965
419,419,0.0003341522
469,469,0.00033384332
327,327,0.0003337259
324,324,0.00033304066
260,260,0.00033025324
478,478,0.00032999786
148,148,0.0003298886
500,500,0.00032941083
83,83,0.00032738544
231,231,0.00032720037
280,280,0.00032718244
498,498,0.00032587873
467,467,0.00032520766
102,102,0.00032370255
84,84,0.00032345828
21,21,0.00032132064
334,334,0.00032061047
237,237,0.00032028827
441,441,0.0003187737
485,485,0.0003181529
159,159,0.00031660515
50,50,0.00031633597
258,258,0.00031522466
164,164,0.00031313743
59,59,0.00031286437
160,160,0.00031265983
355,355,0.00031167237
7,7,0.00031130642
76,76,0.00030938906
476,476,0.0003087692
263,263,0.0003072378
495,495,0.0003052068
27,27,0.00030507136
234,234,0.00030466946
299,299,0.00030342882
113,113,0.00030309713
276,276,0.00030135227
217,217,0.00030106696
61,61,0.00030104464
54,54,0.00030067936
349,349,0.0003001497
380,380,0.00029829858
503,503,0.00029654359
303,303,0.0002964005
88,88,0.00029631294
188,188,0.00029344021
444,444,0.00029314525
329,329,0.0002908486
400,400,0.0002895397
223,223,0.00028937528
123,123,0.0002876151
272,272,0.0002861553
91,91,0.0002857061
354,354,0.00028297797
409,409,0.0002819136
448,448,0.0002804029
509,509,0.00027843454
215,215,0.00027820378
183,183,0.0002780649
253,253,0.0002754507
